product_title,product_id,Product_Price,product_year,product_grade,Product_Grade_Service,Product_Denomination,Product_Mint_Mark,Product_Metal_Mark,product_purity,Product_thinkness,Product_Diameter,First_Image,Second_Image,Third_Image,Stock
,155286,$19.48,2018,Brilliant Unc,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/155286_Slab.jpg?v=20180226111235&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/155286_Obv.jpg?v=20180226111235&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/155286_Rev.jpg?v=20180226111235&width=450&height=450,1
"
                    2017 Mexico 1 oz Silver Libertad Proof (In Capsule)
                ",103061,$50.48,2017,Proof,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/103061_Slab.jpg?v=20170419032201&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/103061_Obv.jpg?v=20170419032201&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/103061_Rev.jpg?v=20170419032201&width=450&height=450,1
"
                    2017 Mexico 2 oz Silver Libertad BU
                ",150004,$61.96,2017,Brilliant Unc,None,2 Onzas,Mo - Mexico City,2 troy oz,0.999,4.5 mm,48 mm,https://apmex.exceda.com/images/Catalog Images/Products/150004_Obv.jpg?v=20170403095817&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/150004_Rev.jpg?v=20170403095817&width=450&height=450,,1
"
                    2016 Mexico 1/20 oz Silver Libertad Proof (In Capsule)
                ",98611,$9.76,2016,Proof,None,1/20 Onza,Mo - Mexico City,0.05 troy oz,0.999,1 mm,16 mm,https://apmex.exceda.com/images/Catalog Images/Products/98611_Slab.jpg?v=20160620091655&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/98611_Obv.jpg?v=20160620091655&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/98611_Rev.jpg?v=20160620091655&width=450&height=450,1
"
                    1986 Mexico 1 oz Silver Libertad BU
                ",10205,$41.49,1986,Brilliant Unc,None,1 Onza,Mo - Mexico City,1 troy oz,0.999,4 mm,36 mm,https://apmex.exceda.com/images/Catalog Images/Products/10205_Obv.jpg?v=20130602094622&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/10205_Rev.jpg?v=20130602094622&width=450&height=450,,1
"
                    2018 Mexico 1/2 oz Silver Libertad Proof (In Capsule)
                ",162426,$22.73,2018,Proof,None,1/2 Onza,Mo - Mexico City,0.5 troy oz,0.999,2.6 mm,33 mm,https://apmex.exceda.com/images/Catalog Images/Products/162426_Slab.jpg?v=20180222030920&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/162426_Obv.jpg?v=20180222030920&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/162426_Rev.jpg?v=20180222030920&width=450&height=450,1
"
                    2016 Mexico 1/4 oz Silver Libertad Proof (In Capsule)
                ",98613,$16.86,2016,Proof,None,1/4 Onza,Mo - Mexico City,0.25 troy oz,0.999,1.7 mm,27 mm,https://apmex.exceda.com/images/Catalog Images/Products/98613_Slab.jpg?v=20160620091710&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/98613_Obv.jpg?v=20160620091710&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/98613_Rev.jpg?v=20160620091710&width=450&height=450,1
"
                    2016 Mexico 1/10 oz Silver Libertad Proof (In Capsule)
                ",98612,$11.54,2016,Proof,None,1/10 Onza,Mo - Mexico City,0.1 troy oz,0.999,1.4 mm,20 mm,https://apmex.exceda.com/images/Catalog Images/Products/98612_Slab.jpg?v=20160620091702&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/98612_Obv.jpg?v=20160620091702&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/98612_Rev.jpg?v=20160620091702&width=450&height=450,1
"
                    2016 Mexico 1 oz Silver Libertad (MintDirect® Single)
                ",92659,,2016,Brilliant Unc,MintDirect,1 Onza,Mo - Mexico City,1 troy oz,0.999,3 mm,40 mm,https://apmex.exceda.com/images/Catalog Images/Products/92659_Slab.jpg?v=20160727040312&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/92659_Obv.jpg?v=20160727040312&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/92659_Rev.jpg?v=20160727040312&width=450&height=450,0
"
                    2016 Mexico 1/10 oz Silver Libertad BU
                ",96165,$6.14,2016,Brilliant Unc,None,1/10 Onza,Mo - Mexico City,0.1 troy oz,0.999,1.4 mm,20 mm,https://apmex.exceda.com/images/Catalog Images/Products/96165_Obv.jpg?v=20160412101130&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/96165_Rev.jpg?v=20160412101130&width=450&height=450,,1
"
                    2018 Mexico 5 oz Silver Libertad Proof (In Capsule)
                ",162421,$177.44,2018,Proof,None,5 Onzas,Mo - Mexico City,5 troy oz,0.999,5.4 mm,65 mm,https://apmex.exceda.com/images/Catalog Images/Products/162421_Slab.jpg?v=20180326082029&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/162421_Obv.jpg?v=20180326082029&width=450&height=450,https://apmex.exceda.com/images/Catalog Images/Products/162421_Rev.jpg?v=20180326082029&width=450&height=450,1
